strategy,repeat_id,partition,label,host_multiplicity,period_stratum,technical_status,model_data_available,rows,assigned_denominator
host_group_stratified,3,train,0,multiple,100_days_or_more,constructed_qc_fail,True,2,22
host_group_stratified,3,train,0,multiple,100_days_or_more,constructed_qc_pass,True,20,22
host_group_stratified,3,train,0,multiple,10_to_lt100_days,constructed_qc_fail,True,2,40
host_group_stratified,3,train,0,multiple,10_to_lt100_days,constructed_qc_pass,True,38,40
host_group_stratified,3,train,0,single,0_to_lt10_days,constructed_qc_fail,True,128,1785
host_group_stratified,3,train,0,single,0_to_lt10_days,constructed_qc_pass,True,1657,1785
host_group_stratified,3,train,0,single,100_days_or_more,constructed_qc_fail,True,8,251
host_group_stratified,3,train,0,single,100_days_or_more,constructed_qc_pass,True,243,251
host_group_stratified,3,train,0,single,10_to_lt100_days,constructed_qc_fail,True,35,626
host_group_stratified,3,train,0,single,10_to_lt100_days,constructed_qc_pass,True,591,626
host_group_stratified,3,train,1,multiple,0_to_lt10_days,constructed_qc_fail,True,7,384
host_group_stratified,3,train,1,multiple,0_to_lt10_days,constructed_qc_pass,True,377,384
host_group_stratified,3,train,1,multiple,100_days_or_more,constructed_qc_pass,True,49,49
host_group_stratified,3,train,1,multiple,10_to_lt100_days,constructed_qc_fail,True,3,435
host_group_stratified,3,train,1,multiple,10_to_lt100_days,constructed_qc_pass,True,432,435
host_group_stratified,3,train,1,single,0_to_lt10_days,constructed_qc_fail,True,5,467
host_group_stratified,3,train,1,single,0_to_lt10_days,constructed_qc_pass,True,462,467
host_group_stratified,3,train,1,single,100_days_or_more,constructed_qc_fail,True,1,63
host_group_stratified,3,train,1,single,100_days_or_more,constructed_qc_pass,True,62,63
host_group_stratified,3,train,1,single,10_to_lt100_days,constructed_qc_fail,True,6,475
host_group_stratified,3,train,1,single,10_to_lt100_days,constructed_qc_pass,True,469,475
host_group_stratified,3,validation,0,multiple,0_to_lt10_days,constructed_qc_fail,True,1,11
host_group_stratified,3,validation,0,multiple,0_to_lt10_days,constructed_qc_pass,True,10,11
host_group_stratified,3,validation,0,multiple,100_days_or_more,constructed_qc_pass,True,4,4
host_group_stratified,3,validation,0,multiple,10_to_lt100_days,constructed_qc_pass,True,9,9
host_group_stratified,3,validation,0,single,0_to_lt10_days,constructed_qc_fail,True,26,387
host_group_stratified,3,validation,0,single,0_to_lt10_days,constructed_qc_pass,True,361,387
host_group_stratified,3,validation,0,single,100_days_or_more,constructed_qc_fail,True,3,69
host_group_stratified,3,validation,0,single,100_days_or_more,constructed_qc_pass,True,66,69
host_group_stratified,3,validation,0,single,10_to_lt100_days,constructed_qc_fail,True,2,114
host_group_stratified,3,validation,0,single,10_to_lt100_days,constructed_qc_pass,True,112,114
host_group_stratified,3,validation,1,multiple,0_to_lt10_days,constructed_qc_fail,True,4,92
host_group_stratified,3,validation,1,multiple,0_to_lt10_days,constructed_qc_pass,True,88,92
host_group_stratified,3,validation,1,multiple,100_days_or_more,constructed_qc_pass,True,9,9
host_group_stratified,3,validation,1,multiple,10_to_lt100_days,constructed_qc_fail,True,3,85
host_group_stratified,3,validation,1,multiple,10_to_lt100_days,constructed_qc_pass,True,82,85
host_group_stratified,3,validation,1,single,0_to_lt10_days,constructed_qc_fail,True,4,93
host_group_stratified,3,validation,1,single,0_to_lt10_days,constructed_qc_pass,True,89,93
host_group_stratified,3,validation,1,single,100_days_or_more,constructed_qc_pass,True,9,9
host_group_stratified,3,validation,1,single,10_to_lt100_days,constructed_qc_pass,True,112,112
host_group_stratified,4,test,0,multiple,0_to_lt10_days,constructed_qc_pass,True,9,9
host_group_stratified,4,test,0,multiple,100_days_or_more,constructed_qc_pass,True,3,3
host_group_stratified,4,test,0,multiple,10_to_lt100_days,constructed_qc_pass,True,9,9
host_group_stratified,4,test,0,single,0_to_lt10_days,constructed_qc_fail,True,26,406
host_group_stratified,4,test,0,single,0_to_lt10_days,constructed_qc_pass,True,380,406
host_group_stratified,4,test,0,single,100_days_or_more,constructed_qc_fail,True,1,55
host_group_stratified,4,test,0,single,100_days_or_more,constructed_qc_pass,True,54,55
host_group_stratified,4,test,0,single,10_to_lt100_days,constructed_qc_fail,True,6,112
host_group_stratified,4,test,0,single,10_to_lt100_days,constructed_qc_pass,True,106,112
host_group_stratified,4,test,1,multiple,0_to_lt10_days,constructed_qc_pass,True,90,90
host_group_stratified,4,test,1,multiple,100_days_or_more,constructed_qc_pass,True,8,8
host_group_stratified,4,test,1,multiple,10_to_lt100_days,constructed_qc_pass,True,86,86
host_group_stratified,4,test,1,single,0_to_lt10_days,constructed_qc_fail,True,5,100
host_group_stratified,4,test,1,single,0_to_lt10_days,constructed_qc_pass,True,95,100
host_group_stratified,4,test,1,single,100_days_or_more,constructed_qc_pass,True,14,14
host_group_stratified,4,test,1,single,10_to_lt100_days,constructed_qc_fail,True,2,103
host_group_stratified,4,test,1,single,10_to_lt100_days,constructed_qc_pass,True,101,103
host_group_stratified,4,train,0,multiple,0_to_lt10_days,constructed_qc_fail,True,4,51
host_group_stratified,4,train,0,multiple,0_to_lt10_days,constructed_qc_pass,True,47,51
host_group_stratified,4,train,0,multiple,100_days_or_more,constructed_qc_pass,True,25,25
host_group_stratified,4,train,0,multiple,10_to_lt100_days,constructed_qc_fail,True,2,38
host_group_stratified,4,train,0,multiple,10_to_lt100_days,constructed_qc_pass,True,36,38
host_group_stratified,4,train,0,single,0_to_lt10_days,constructed_qc_fail,True,121,1755
host_group_stratified,4,train,0,single,0_to_lt10_days,constructed_qc_pass,True,1634,1755
host_group_stratified,4,train,0,single,100_days_or_more,constructed_qc_fail,True,11,257
host_group_stratified,4,train,0,single,100_days_or_more,constructed_qc_pass,True,246,257
host_group_stratified,4,train,0,single,10_to_lt100_days,constructed_qc_fail,True,34,648
host_group_stratified,4,train,0,single,10_to_lt100_days,constructed_qc_pass,True,614,648
host_group_stratified,4,train,1,multiple,0_to_lt10_days,constructed_qc_fail,True,12,380
host_group_stratified,4,train,1,multiple,0_to_lt10_days,constructed_qc_pass,True,368,380
host_group_stratified,4,train,1,multiple,100_days_or_more,constructed_qc_pass,True,42,42
host_group_stratified,4,train,1,multiple,10_to_lt100_days,constructed_qc_fail,True,6,442
host_group_stratified,4,train,1,multiple,10_to_lt100_days,constructed_qc_pass,True,436,442
host_group_stratified,4,train,1,single,0_to_lt10_days,constructed_qc_fail,True,4,471
host_group_stratified,4,train,1,single,0_to_lt10_days,constructed_qc_pass,True,467,471
host_group_stratified,4,train,1,single,100_days_or_more,constructed_qc_fail,True,1,60
host_group_stratified,4,train,1,single,100_days_or_more,constructed_qc_pass,True,59,60
host_group_stratified,4,train,1,single,10_to_lt100_days,constructed_qc_fail,True,4,477
host_group_stratified,4,train,1,single,10_to_lt100_days,constructed_qc_pass,True,473,477
host_group_stratified,4,validation,0,multiple,0_to_lt10_days,constructed_qc_pass,True,12,12
host_group_stratified,4,validation,0,multiple,100_days_or_more,constructed_qc_fail,True,2,4
host_group_stratified,4,validation,0,multiple,100_days_or_more,constructed_qc_pass,True,2,4
host_group_stratified,4,validation,0,multiple,10_to_lt100_days,constructed_qc_pass,True,8,8
host_group_stratified,4,validation,0,single,0_to_lt10_days,constructed_qc_fail,True,32,385
host_group_stratified,4,validation,0,single,0_to_lt10_days,constructed_qc_pass,True,353,385
host_group_stratified,4,validation,0,single,100_days_or_more,constructed_qc_fail,True,1,57
host_group_stratified,4,validation,0,single,100_days_or_more,constructed_qc_pass,True,56,57
host_group_stratified,4,validation,0,single,10_to_lt100_days,constructed_qc_fail,True,7,129
host_group_stratified,4,validation,0,single,10_to_lt100_days,constructed_qc_pass,True,122,129
host_group_stratified,4,validation,1,multiple,0_to_lt10_days,constructed_qc_pass,True,90,90
host_group_stratified,4,validation,1,multiple,100_days_or_more,constructed_qc_pass,True,12,12
host_group_stratified,4,validation,1,multiple,10_to_lt100_days,constructed_qc_pass,True,86,86
host_group_stratified,4,validation,1,single,0_to_lt10_days,constructed_qc_fail,True,2,104
host_group_stratified,4,validation,1,single,0_to_lt10_days,constructed_qc_pass,True,102,104
host_group_stratified,4,validation,1,single,100_days_or_more,constructed_qc_pass,True,9,9
host_group_stratified,4,validation,1,single,10_to_lt100_days,constructed_qc_pass,True,100,100
host_group_stratified,5,test,0,multiple,0_to_lt10_days,constructed_qc_pass,True,8,8
host_group_stratified,5,test,0,multiple,100_days_or_more,constructed_qc_pass,True,9,9
host_group_stratified,5,test,0,multiple,10_to_lt100_days,constructed_qc_pass,True,9,9
host_group_stratified,5,test,0,single,0_to_lt10_days,constructed_qc_fail,True,27,382
host_group_stratified,5,test,0,single,0_to_lt10_days,constructed_qc_pass,True,355,382
host_group_stratified,5,test,0,single,100_days_or_more,constructed_qc_fail,True,1,47
host_group_stratified,5,test,0,single,100_days_or_more,constructed_qc_pass,True,46,47
host_group_stratified,5,test,0,single,10_to_lt100_days,constructed_qc_fail,True,8,140
host_group_stratified,5,test,0,single,10_to_lt100_days,constructed_qc_pass,True,132,140
host_group_stratified,5,test,1,multiple,0_to_lt10_days,constructed_qc_pass,True,68,68
host_group_stratified,5,test,1,multiple,100_days_or_more,constructed_qc_pass,True,10,10
host_group_stratified,5,test,1,multiple,10_to_lt100_days,constructed_qc_pass,True,112,112
host_group_stratified,5,test,1,single,0_to_lt10_days,constructed_qc_fail,True,1,93
host_group_stratified,5,test,1,single,0_to_lt10_days,constructed_qc_pass,True,92,93
host_group_stratified,5,test,1,single,100_days_or_more,constructed_qc_fail,True,1,18
host_group_stratified,5,test,1,single,100_days_or_more,constructed_qc_pass,True,17,18
host_group_stratified,5,test,1,single,10_to_lt100_days,constructed_qc_fail,True,1,100
host_group_stratified,5,test,1,single,10_to_lt100_days,constructed_qc_pass,True,99,100
host_group_stratified,5,train,0,multiple,0_to_lt10_days,constructed_qc_fail,True,4,56
host_group_stratified,5,train,0,multiple,0_to_lt10_days,constructed_qc_pass,True,52,56
host_group_stratified,5,train,0,multiple,100_days_or_more,constructed_qc_fail,True,2,19
host_group_stratified,5,train,0,multiple,100_days_or_more,constructed_qc_pass,True,17,19
host_group_stratified,5,train,0,multiple,10_to_lt100_days,constructed_qc_fail,True,2,36
host_group_stratified,5,train,0,multiple,10_to_lt100_days,constructed_qc_pass,True,34,36
host_group_stratified,5,train,0,single,0_to_lt10_days,constructed_qc_fail,True,121,1772
host_group_stratified,5,train,0,single,0_to_lt10_days,constructed_qc_pass,True,1651,1772
host_group_stratified,5,train,0,single,100_days_or_more,constructed_qc_fail,True,11,262
host_group_stratified,5,train,0,single,100_days_or_more,constructed_qc_pass,True,251,262
host_group_stratified,5,train,0,single,10_to_lt100_days,constructed_qc_fail,True,33,628
host_group_stratified,5,train,0,single,10_to_lt100_days,constructed_qc_pass,True,595,628
host_group_stratified,5,train,1,multiple,0_to_lt10_days,constructed_qc_fail,True,9,406
host_group_stratified,5,train,1,multiple,0_to_lt10_days,constructed_qc_pass,True,397,406
host_group_stratified,5,train,1,multiple,100_days_or_more,constructed_qc_pass,True,41,41
host_group_stratified,5,train,1,multiple,10_to_lt100_days,constructed_qc_fail,True,6,417
host_group_stratified,5,train,1,multiple,10_to_lt100_days,constructed_qc_pass,True,411,417
