kepid,koi_count,fits_product_count,fits_bytes,fits_set_sha256,raw_purged,raw_retention_reason,processing_rebuild_verified_at_run,constructed_qc_fail,constructed_qc_pass,hard_preprocessing_failure,invalid_source_product,no_archive_product,other_technical_failure,retrieval_failure
2437149,1,6,2741760,c416cd0bd7e2af762fedb9a8367fca9498500bcd8bcdbdcb6139c3cba975577d,True,,False,1,0,0,0,0,0,0
2437209,1,15,6497280,6367134fb6fe63fd032293a2b1567f4c3c436879153f0fadb0262bc0dd8cc7d2,True,,False,0,1,0,0,0,0,0
2437452,1,17,7439040,c676cca6547cf0dfadaa1a38d5b51ff63428b0a8743cb1b21592ea12d16605cb,True,,False,0,1,0,0,0,0,0
2437488,1,17,7439040,bf112bdc0841f043b5c5e4992f245f04f56ba36545c88abc50319c1df5b9f4f8,True,,False,0,1,0,0,0,0,0
2437505,1,10,4357440,3f59792bb7483f4b1086510f16ae26c8ab982915e197f9b704f4cfb08ab5b7d6,True,,True,0,1,0,0,0,0,0
2437783,1,4,1800000,0ca828b37bbf961ba109cf9823b4ee5a17fedaccb4d3b5765d852dd1236d5a18,True,,False,1,0,0,0,0,0,0
2437804,1,17,7439040,3687104de4445fd6ad2fcf844ee642f05093dea2be3fe8cee243777b6bd15f0d,True,,False,0,1,0,0,0,0,0
2437897,1,17,7439040,f93369720a82e9ef1b1b2ff7388ed8f585c03f54937a5b00c0074a77482b528a,True,,False,0,1,0,0,0,0,0
2438061,1,12,5351040,7567b11441350068a5d89b3679865b663c725d95d8642f2aed4d4dc9213324b1,True,,False,0,1,0,0,0,0,0
2438062,1,4,1650240,b4cd58c3fa660abbc90f090c67290c44d32848b38ac05fd95081ba3549b93bce,True,,False,1,0,0,0,0,0,0
2438070,1,17,7439040,851922380555a0ffe7371b88b82c54cf10089c5a25cd35b51106af7e80616591,True,,False,0,1,0,0,0,0,0
2438264,2,17,7439040,eed9624c5664956bdd5ff3db536f1c4ed2a74b5b2cb1c51672f8725ad516ef8d,True,,False,0,2,0,0,0,0,0
2438406,1,8,3551040,550cb84b5a9e033c4b3ceb7bc406d8b485407cbc94231043f4209d5738acda97,True,,False,0,1,0,0,0,0,0
2438490,1,4,1800000,d237bc618e22a41d3e834bc6cde024dd090bf931e54ae934400f4e81551639de,True,,False,1,0,0,0,0,0,0
2438502,1,16,7246080,f47ce8ebdddd922b9f47e63dda6fea784ef2a1b89ead487ef242c5fb39f8a561,True,,True,0,1,0,0,0,0,0
2438513,2,17,7439040,c45491ba10cac68088f7f5ac76ad71779196f8e12789f7d9b0519125193625f9,True,,False,0,2,0,0,0,0,0
2438517,1,14,6312960,a2df98412da5a14bd4266729732117d2d9a7df6c8006515e97a08ca8c2e94743,True,,False,0,1,0,0,0,0,0
2439243,1,14,6312960,33c38c8a33c1a3e231f2b6ad1f365256c87341fa919e70743c094213c83493a2,True,,False,0,1,0,0,0,0,0
2440757,1,9,3781440,f95e808954be565c6b30500439ca1f6d8a672104d893f358f44c49a03e48472f,True,,False,0,1,0,0,0,0,0
2441151,1,17,7439040,0bc571777e63680b4c8abe76b03c6da35da1af66ac7bb107d125cf9babb5bc16,True,,False,0,1,0,0,0,0,0
2441161,1,8,3551040,14b7ea88e2691f7b5f94d1f30fcf6d5206c067b027e7398343ac99f8384afdab,True,,False,0,1,0,0,0,0,0
2441495,1,17,7439040,e145067bc3c6b8ef865b87bbed4272b3e9bc08e609efea7bc7306d909893244e,True,,False,0,1,0,0,0,0,0
2441728,1,17,7439040,4dcd693b317dfdd50c4da658c8e215d6ab704d79da54c979a76f53f7b0f9ad26,True,,False,0,1,0,0,0,0,0
2442084,1,17,7439040,579e3fb1bbf0127f24dda11fdac15490bb81817a20326dd21d782128a57e1cf4,True,,False,0,1,0,0,0,0,0
2442359,1,17,7439040,78c9f80a77063919dee1181b1f246607527de7a35584953d27e347720d54d6eb,True,,True,0,1,0,0,0,0,0
2442448,1,17,7439040,9eba0e58cdabb0475c9a0f1e8a365c550ccadfd370b6c2f678713b070a289030,True,,False,0,1,0,0,0,0,0
2444412,1,17,7439040,cce8f45e11c91652d426dd3f5e83f0170e85faa2f1ee0b2dfd9405b1a2e94ad0,True,,False,0,1,0,0,0,0,0
2445129,1,17,7439040,d508d578c66581d7a42c44d23e4ac3381646111ed6e729dee41a7b288d7ed330,True,,False,0,1,0,0,0,0,0
2445134,1,17,7439040,e0c167499158b1cb83c64b1343c4d6002df55ab25a8dbadd2280ca1b7e3f3ef1,True,,False,0,1,0,0,0,0,0
2445154,1,17,7439040,ad991d25da7716d1749d95b1f39aa3cbc07744464918ff4c6e78c159a16e90a7,True,,False,0,1,0,0,0,0,0
2445975,1,17,7439040,36e221469dad18e28c35c7126a6c0c778d2b9327ba37833883d5a10065a35df6,True,,False,0,1,0,0,0,0,0
2446113,1,17,7439040,8c97b241f775eb7d4113729f660d9e00a1547debe56253bb31d460b71b7e2dd6,True,,False,0,1,0,0,0,0,0
2446134,1,17,7439040,13233f0bbb3f2079bf0e5a01744f3ac88088d6c32826ff1afedf6da1530505bb,True,,False,0,1,0,0,0,0,0
2446623,1,16,7246080,3ce22038d7d1f4ecb1e2f6740f15189e6458ad1890fccd7f75b69b16cfd517d9,True,,False,0,1,0,0,0,0,0
2449053,1,17,7439040,746d9965acafdb79a61814a9419d07c2fb0baa8de3119517f703f6eaedd9ded4,True,,True,0,1,0,0,0,0,0
2449074,1,17,7439040,0d83e47285529fc1a13db2f93a66569c8a94c383d9f3929e7a30cc38b5b18163,True,,False,0,1,0,0,0,0,0
2449090,1,8,3551040,3fffbeb5676e466908cb1712418cbf2ff45d4783fdf77cccddbfc7436840a9d9,True,,False,0,1,0,0,0,0,0
2452440,1,8,3551040,9d8a886197bafb0c04fc4fd0eb8dd23ca0c8fd540e1ac30791dd6d4f00ea6872,True,,False,0,1,0,0,0,0,0
2452450,1,17,7439040,2bac0d4e1dcc03e1f3a8ef0dcdbb70f60919dfc9ffb4ff6bfb0ebb15fcf8de6b,True,,False,0,1,0,0,0,0,0
2556650,1,17,7439040,d119c83dcf1a3b02402704c0d87430f58182afcbcd5300e0368626feccb0043c,True,,False,0,1,0,0,0,0,0
2557430,1,17,7439040,352ac30fdebc479cd098e78f393cb187fb35ec89bfe85fd5ea87d655725fbbce,True,,False,0,1,0,0,0,0,0
2557816,1,17,7439040,3a6f82950fb4d48fba4564605dc85e01d1d2c294f0e843ee7797ea113c2775e7,True,,False,0,1,0,0,0,0,0
2558363,1,16,7246080,c894bfc2024357f7c4537a9810bb0d661d99df1b1f4129f2e83ae57780b2e2f2,True,,False,0,1,0,0,0,0,0
2558370,1,8,3551040,deabba88625daddf0e65cdf34c625e86653eca035e02b544a797f93a34512b8f,True,,False,0,1,0,0,0,0,0
2568971,1,17,7439040,515f201987a205c5be50fdc5806b9e36bcccc7f2ef369d9457b58f9e52e42c1c,True,,True,0,1,0,0,0,0,0
2569488,1,17,7439040,f4d0bcb2ce169df27d09d2efd75d81d40fe0d356154fc23978a9b3b3118911a1,True,,False,0,1,0,0,0,0,0
2569494,1,5,2286720,7ad1b8e9d5eb865c4e66b90cf97b81356d6fe7a04a19d8ab8273c20c41400bfb,True,,False,1,0,0,0,0,0,0
2569516,1,17,7439040,69c3f199b1574438e3b96f9e8a54af4e32b8ae5df877111037ad019f346461e3,True,,False,0,1,0,0,0,0,0
2569995,1,4,1650240,d2ff68b500ecb45eb2d1fcba5582d9a788e1f6b8fca0d49b551c9fbb3f86eb8b,True,,False,1,0,0,0,0,0,0
2570432,1,8,3551040,8823a3f3566c9cd04d8573613f4db8a0740240668012fad98667ee13b01ff41e,True,,False,0,1,0,0,0,0,0
2570505,1,17,7439040,70aae7c12d5531b3443c10f920b20137094ebecc7948d6cd02eaf2f90ea984ae,True,,False,0,1,0,0,0,0,0
2570767,1,17,7439040,6a1d42dac5d1443d969312257ac206dd14a14616f439a00a71ffc733557154cd,True,,False,0,1,0,0,0,0,0
2570773,1,8,3551040,12a4b0aa028f09adab26324cc678040f6b2675b8a1d180be4bc30daea97aa6a3,True,,False,0,1,0,0,0,0,0
2571238,1,17,7439040,fbd3b1938703f855902bdb84178ebf2c712284aabfa8726442871e023e46074b,True,,False,0,1,0,0,0,0,0
2573056,1,17,7439040,f57ecf9b4a2cf21b81fe60a70d275e125477ac02ed643d28b361c67fadc28e30,True,,True,0,1,0,0,0,0,0
2573108,1,17,7439040,d4aab8283d5d6a61c9cbb989e9a78df5a21a354d2a115fec2554c4fb67ce8667,True,,False,0,1,0,0,0,0,0
2574201,1,15,6612480,1e226a5d03f05260522371c79c767463b9cad69eb71e5cac1833bf71704d8ed1,True,,False,0,1,0,0,0,0,0
2574338,1,17,7439040,30c1a1eafc407d71a3ffd8d846414a9c473fbac42e409d6a149703b14c9d9678,True,,False,0,1,0,0,0,0,0
2574543,1,7,3096000,cb8cfedbeb0e954658a5d04695a237c734b71fce955f34a726ebc74d4722c969,True,,False,1,0,0,0,0,0,0
2576107,1,17,7439040,bf22e7cc215ef1e5fcaecf394a0a56c4fc02a03ac50924bd3ac914b5a1bd06c9,True,,False,0,1,0,0,0,0,0
2576197,1,17,7439040,2e7a50737ee6d74d180b0945edc7fa4101ddee2f2a76b72baa14199a82cee3a7,True,,False,0,1,0,0,0,0,0
2576692,1,17,7439040,97faa6b37de1fa314ca7ca64140d916832d665a0790fd51698b206ee9649b3d6,True,,False,0,1,0,0,0,0,0
2578017,1,14,6312960,eefd0d51e5038280416aadea2d31596c29e3f435094a39af4bfd7725599be71a,True,,False,0,1,0,0,0,0,0
2578811,1,17,7439040,218b5bd9e008b6afcb2a0f739bcf0c245be4ed767e96c159338fcc257ce0e59f,True,,False,0,1,0,0,0,0,0
2580872,1,17,7439040,c5816810433340287453a42579af36f5cbe87abe637f1daa916725481d9c7ec0,True,,True,0,1,0,0,0,0,0
2581191,1,17,7439040,ee1fe9777a5ea5bf6733066d21844db4b78ee4e5cfe93839a6a8bebacb230317,True,,False,0,1,0,0,0,0,0
2581316,2,17,7439040,4e573450fec2702926c944ea359eefd7244ac7b44b799251430c09d8fe9e7b65,True,,False,0,2,0,0,0,0,0
2581554,1,17,7439040,bf2291a2697362c34bd17d0608717535675bfa4c9c31a4964c7af09fe9591dbe,True,,False,0,1,0,0,0,0,0
2583777,1,17,7439040,76268e6ed317cb5e9c919b12bfd0503cccc755c49e4039d1c52a6499dc4f5d84,True,,False,0,1,0,0,0,0,0
2584163,1,17,7439040,083304fbdb15796d85afc919bcd4f795485f4a21155c7caa625da77215e39b84,True,,False,0,1,0,0,0,0,0
2692377,1,17,7439040,288f0365c5c117ad010659f3624b7650a58e1fc2dceceb1a74c869858c1d268b,True,,False,0,1,0,0,0,0,0
2693092,1,17,7439040,3b9c95b4d35c81865d728ff30575819b83af5ea77f5141848f0e87c289b89b9a,True,,False,0,1,0,0,0,0,0
2693736,1,17,7439040,be3aecb4c30712c3f332ff23f72d3963817d08204335159280e5fcf29979bed5,True,,False,0,1,0,0,0,0,0
2694632,1,17,7439040,27a2691a080ef9484442a485c64450de96f096363ef70202400d50033af6ef4a,True,,False,0,1,0,0,0,0,0
2695110,1,17,7439040,2d267a04861a53776affb1109e04668f4354375884ea6ee9b76fa1cd253d0058,True,,True,0,1,0,0,0,0,0
2696703,1,17,7439040,6b6eca725602216e35e22595760b1544b8854de5a8aceeff9b5569640d3daa98,True,,False,0,1,0,0,0,0,0
2697935,1,8,3657600,b0e65b216d2feed85248c64f5fb01f57fdc4f750d85793637a098c16def37eda,True,,False,0,1,0,0,0,0,0
2707097,1,2,907200,fe8baec9c16f839fde088d1846e47fab49c9da947ecc085c3f52ccad69787d48,True,,False,1,0,0,0,0,0,0
2707916,1,8,3551040,a7978deffbea9d45564f8e8302c26910762b9bb237ab03bfc240fed6b60afbf3,True,,False,0,1,0,0,0,0,0
2707985,1,17,7439040,da789585badbc34d5bdd7ea4041145b4e1bae8155eed7fccc21645fbe52e82a2,True,,False,0,1,0,0,0,0,0
2708156,1,17,7439040,a7bb29199f199ae4d9e241cbe37dd41a7ef6f8b8339fcbf432bf1444f1668f6e,True,,False,0,1,0,0,0,0,0
2708172,1,17,7439040,db8c1eb0796add7a24e6ff3a05f96e9878614831f4507ba70dffecdae4891527,True,,False,0,1,0,0,0,0,0
2708203,1,17,7439040,af7ee0cf2f9aff87321840d93e2559d42aee73d3cc07e13a223f4207cd1b494c,True,,False,0,1,0,0,0,0,0
2708221,1,8,3551040,5f533790d7cb53bd2c0367ba2ef664e253714f7c501b1c36564f93c181a06202,True,,False,0,1,0,0,0,0,0
2708270,1,16,7246080,24fdad8b816247539e2a00a0e629d87b8d1e79d248ae0df11422ba878bba919b,True,,True,0,1,0,0,0,0,0
2708278,1,17,7439040,d15e913c03c3ef4cb8cf21b3ae7f4a0b1de7c0085caafa30d04ab34d1fcc8db9,True,,False,0,1,0,0,0,0,0
2708286,1,17,7439040,eacf37097e219590aeccedc707e0ffd2b638979212507da3e368f785de294bb3,True,,False,0,1,0,0,0,0,0
2708343,1,17,7439040,8c36599f3fca2ee6a9f2f1b9d3c393512c78025624afb243271ccddf0d4fa648,True,,False,0,1,0,0,0,0,0
2708420,1,17,7439040,b6bd182d5011db5c6b76ea7559c99e13e57d6f35bb369a822cc2b3f5e8aea5a7,True,,False,0,1,0,0,0,0,0
2708445,1,17,7439040,a2431ba11f04c2b92fe7ba8c055304782c805dc809e8add7d2fe6e0239ac185e,True,,False,0,1,0,0,0,0,0
2708614,1,2,933120,523dc3ce40cfe1bc6ac1f79758bd736a157ca19bbb482beb959f2a035136d94a,True,,False,1,0,0,0,0,0,0
2708885,1,16,7246080,ef68ed35d3d98d2187597cb29338cc21c3106a9ed7261282ea12980709a7ba7a,True,,False,0,1,0,0,0,0,0
2710623,1,17,7439040,269a447d130df594b1d5f250a56e37deda08822a35d961c04065e6a927c3f122,True,,False,0,1,0,0,0,0,0
