kepid,quarter,obsid,product_filename,data_uri,product_size,description
4150804,6,408673,kplr004150804-2010265121752_llc.fits,mast:KEPLER/url/missions/kepler/lightcurves/0041/004150804/kplr004150804-2010265121752_llc.fits,469440,Lightcurve Long Cadence (CLC) - Q6
4150804,7,408673,kplr004150804-2010355172524_llc.fits,mast:KEPLER/url/missions/kepler/lightcurves/0041/004150804/kplr004150804-2010355172524_llc.fits,466560,Lightcurve Long Cadence (CLC) - Q7
4150804,8,408673,kplr004150804-2011073133259_llc.fits,mast:KEPLER/url/missions/kepler/lightcurves/0041/004150804/kplr004150804-2011073133259_llc.fits,357120,Lightcurve Long Cadence (CLC) - Q8
4150804,9,408673,kplr004150804-2011177032512_llc.fits,mast:KEPLER/url/missions/kepler/lightcurves/0041/004150804/kplr004150804-2011177032512_llc.fits,506880,Lightcurve Long Cadence (CLC) - Q9
4150804,10,408673,kplr004150804-2011271113734_llc.fits,mast:KEPLER/url/missions/kepler/lightcurves/0041/004150804/kplr004150804-2011271113734_llc.fits,486720,Lightcurve Long Cadence (CLC) - Q10
4150804,11,408673,kplr004150804-2012004120508_llc.fits,mast:KEPLER/url/missions/kepler/lightcurves/0041/004150804/kplr004150804-2012004120508_llc.fits,506880,Lightcurve Long Cadence (CLC) - Q11
4150804,12,408673,kplr004150804-2012088054726_llc.fits,mast:KEPLER/url/missions/kepler/lightcurves/0041/004150804/kplr004150804-2012088054726_llc.fits,434880,Lightcurve Long Cadence (CLC) - Q12
4150804,13,408673,kplr004150804-2012179063303_llc.fits,mast:KEPLER/url/missions/kepler/lightcurves/0041/004150804/kplr004150804-2012179063303_llc.fits,472320,Lightcurve Long Cadence (CLC) - Q13
4150804,14,408673,kplr004150804-2012277125453_llc.fits,mast:KEPLER/url/missions/kepler/lightcurves/0041/004150804/kplr004150804-2012277125453_llc.fits,506880,Lightcurve Long Cadence (CLC) - Q14
4150804,15,408673,kplr004150804-2013011073258_llc.fits,mast:KEPLER/url/missions/kepler/lightcurves/0041/004150804/kplr004150804-2013011073258_llc.fits,506880,Lightcurve Long Cadence (CLC) - Q15
4150804,16,408673,kplr004150804-2013098041711_llc.fits,mast:KEPLER/url/missions/kepler/lightcurves/0041/004150804/kplr004150804-2013098041711_llc.fits,449280,Lightcurve Long Cadence (CLC) - Q16
4150804,17,408673,kplr004150804-2013131215648_llc.fits,mast:KEPLER/url/missions/kepler/lightcurves/0041/004150804/kplr004150804-2013131215648_llc.fits,187200,Lightcurve Long Cadence (CLC) - Q17
4155328,1,409752,kplr004155328-2009166043257_llc.fits,mast:KEPLER/url/missions/kepler/lightcurves/0041/004155328/kplr004155328-2009166043257_llc.fits,192960,Lightcurve Long Cadence (CLC) - Q1
4155328,2,409752,kplr004155328-2009259160929_llc.fits,mast:KEPLER/url/missions/kepler/lightcurves/0041/004155328/kplr004155328-2009259160929_llc.fits,466560,Lightcurve Long Cadence (CLC) - Q2
4155328,3,409752,kplr004155328-2009350155506_llc.fits,mast:KEPLER/url/missions/kepler/lightcurves/0041/004155328/kplr004155328-2009350155506_llc.fits,466560,Lightcurve Long Cadence (CLC) - Q3
4155328,4,409752,kplr004155328-2010078095331_llc.fits,mast:KEPLER/url/missions/kepler/lightcurves/0041/004155328/kplr004155328-2010078095331_llc.fits,469440,Lightcurve Long Cadence (CLC) - Q4
4155328,5,409752,kplr004155328-2010174085026_llc.fits,mast:KEPLER/url/missions/kepler/lightcurves/0041/004155328/kplr004155328-2010174085026_llc.fits,492480,Lightcurve Long Cadence (CLC) - Q5
4155328,6,409752,kplr004155328-2010265121752_llc.fits,mast:KEPLER/url/missions/kepler/lightcurves/0041/004155328/kplr004155328-2010265121752_llc.fits,469440,Lightcurve Long Cadence (CLC) - Q6
4155328,7,409752,kplr004155328-2010355172524_llc.fits,mast:KEPLER/url/missions/kepler/lightcurves/0041/004155328/kplr004155328-2010355172524_llc.fits,466560,Lightcurve Long Cadence (CLC) - Q7
4155328,8,409752,kplr004155328-2011073133259_llc.fits,mast:KEPLER/url/missions/kepler/lightcurves/0041/004155328/kplr004155328-2011073133259_llc.fits,357120,Lightcurve Long Cadence (CLC) - Q8
4155328,9,409752,kplr004155328-2011177032512_llc.fits,mast:KEPLER/url/missions/kepler/lightcurves/0041/004155328/kplr004155328-2011177032512_llc.fits,506880,Lightcurve Long Cadence (CLC) - Q9
4155328,10,409752,kplr004155328-2011271113734_llc.fits,mast:KEPLER/url/missions/kepler/lightcurves/0041/004155328/kplr004155328-2011271113734_llc.fits,486720,Lightcurve Long Cadence (CLC) - Q10
4155328,11,409752,kplr004155328-2012004120508_llc.fits,mast:KEPLER/url/missions/kepler/lightcurves/0041/004155328/kplr004155328-2012004120508_llc.fits,506880,Lightcurve Long Cadence (CLC) - Q11
4155328,12,409752,kplr004155328-2012088054726_llc.fits,mast:KEPLER/url/missions/kepler/lightcurves/0041/004155328/kplr004155328-2012088054726_llc.fits,434880,Lightcurve Long Cadence (CLC) - Q12
4155328,13,409752,kplr004155328-2012179063303_llc.fits,mast:KEPLER/url/missions/kepler/lightcurves/0041/004155328/kplr004155328-2012179063303_llc.fits,472320,Lightcurve Long Cadence (CLC) - Q13
