strategy,repeat_id,seed,partition,rows,target_fraction,row_fraction,row_fraction_deviation,negative_count,positive_count,positive_prevalence,prevalence_deviation,hosts,single_koi_hosts,multi_koi_hosts,multi_koi_rows,mixed_label_hosts,koi_period_count,koi_period_missing,koi_period_minimum,koi_period_p10,koi_period_median,koi_period_p90,koi_period_maximum,koi_period_standardized_median_difference,koi_period_ks_statistic,koi_duration_count,koi_duration_missing,koi_duration_minimum,koi_duration_p10,koi_duration_median,koi_duration_p90,koi_duration_maximum,koi_duration_standardized_median_difference,koi_duration_ks_statistic,koi_model_snr_count,koi_model_snr_missing,koi_model_snr_minimum,koi_model_snr_p10,koi_model_snr_median,koi_model_snr_p90,koi_model_snr_maximum,koi_model_snr_standardized_median_difference,koi_model_snr_ks_statistic
host_group_stratified,3,4099,validation,994,0.15,0.149766460750339,-0.000233539249660991,594,400,0.402414486921529,-0.000478386364594019,870,784,86,210,5,994,0,0.299697755,0.93374117,6.9891697545,85.10887548,646.28789332,-0.000657104666133642,0.0217135266018288,994,0,0.3969,1.75134,3.84235,8.967908,86.05,0.00681947901635611,0.0206468583991519,986,8,2.3,11.35,32.7,1241.25,8022.8,-0.00240716157252801,0.0255334019943752
host_group_stratified,3,4099,test,995,0.15,0.149917131233991,-8.28687660087424e-05,594,401,0.403015075376884,0.000122202090761192,874,791,83,204,4,995,0,0.328686504,0.9962272772,7.09520543,62.4606169912,670.645531,0.000623562293586832,0.0280940638100855,995,0,0.4279,1.7066,3.828,10.51794,77.983,0.00468513825551184,0.0159321543683462,989,6,2.4,11.6,35,1053.66,9054.7,0.000109416435114911,0.0310635157501277
host_group_stratified,4,5279,train,4646,0.7,0.700015067048365,1.50670483652915e-05,2774,1872,0.402927249246664,3.43759605405669e-05,4061,3668,393,978,26,4646,0,0.299697755,0.9348586445,7.1818798655,79.95818259,1064.2680956,0.00167039002655369,0.0124483136353674,4646,0,0.1046,1.7035,3.8525,10.3144,138.54,0.00832913467646553,0.0156389865162565,4607,39,0,11.4,35.3,1066.22,9054.7,0.000437665740459637,0.00626841943254544
host_group_stratified,4,5279,validation,996,0.15,0.150067801717644,6.78017176435064e-05,595,401,0.402610441767068,-0.000282431519054938,870,784,86,212,5,996,0,0.306937807,0.824180728,6.375601265,72.64166344,595.78152,-0.0080676001274301,0.0284697627333199,996,0,0.3028,1.6671,3.689,10.27595,90.01,-0.0159889638878579,0.0249362675956198,988,8,1.4,11.67,35.55,970.910000000002,8616.1,0.000711206828246911,0.020928750598184
host_group_stratified,4,5279,test,995,0.15,0.149917131233991,-8.28687660087424e-05,594,401,0.403015075376884,0.000122202090761192,873,790,83,205,5,995,0,0.341842017,0.933738858,6.33855946,66.396195,670.645531,-0.00851497989436438,0.0324036939254052,995,0,0.5421,1.692008,3.6373,8.49976,53.412,-0.0236785400088091,0.0543064879921682,987,8,1.8,11.6,32,779,6104.8,-0.00317307661833238,0.0255740303064728
host_group_stratified,5,6553,train,4646,0.7,0.700015067048365,1.50670483652915e-05,2773,1873,0.40314248816186,0.000249614875736437,4063,3671,392,975,25,4646,0,0.299697755,0.93373651,6.9419052,76.23565865,809.0141881,-0.00122795172330224,0.00521243338279364,4646,0,0.1046,1.6779,3.77658,10.422,138.54,-0.00296279219205701,0.00767851938976054,4609,37,1.4,11.4,34.8,1008.34,8616.1,-0.000109416435114911,0.00691969835087429
host_group_stratified,5,6553,validation,995,0.15,0.149917131233991,-8.28687660087424e-05,595,400,0.402010050251256,-0.00088282303486692,874,791,83,204,4,995,0,0.366197145,0.933746142,6.61836309,76.6850512,677.56282,-0.00513559590438966,0.0257734355065973,995,0,0.2961,1.76836,3.686,9.112,117.52,-0.01643516753124,0.0272138150447885,985,10,0,11.3,33.1,946.64,8755.2,-0.00196949583206837,0.0230925135001319
host_group_stratified,5,6553,test,996,0.15,0.150067801717644,6.78017176435064e-05,595,401,0.402610441767068,-0.000282431519054938,867,780,87,216,7,996,0,0.339069751,0.968846989,7.95551268,81.26250585,1064.2680956,0.0110140942073764,0.0363811733297511,996,0,0.4279,1.7331,4.05005,10.01465,63.196,0.0377116445931757,0.0425191802315485,988,8,4.8,12.2,37.15,1105.77,9054.7,0.00246186979008547,0.0381047809201146
host_group_stratified,6,7919,train,4648,0.7,0.70031640801567,0.000316408015669789,2775,1873,0.402969018932874,7.61456467511246e-05,4071,3681,390,967,22,4648,0,0.306937807,0.933737174,6.97247013,77.17375948,677.56282,-0.00085879770233154,0.00639231196725601,4648,0,0.1046,1.6827,3.75655,10.06962,138.54,-0.00594194518437141,0.00762383570745238,4612,36,0,11.6,35.85,997.700000000001,9054.7,0.00103945613359164,0.0123709883956429
host_group_stratified,6,7919,validation,995,0.15,0.149917131233991,-8.28687660087424e-05,594,401,0.403015075376884,0.000122202090761192,873,791,82,204,5,995,0,0.366197145,0.904420316,7.68478504,73.738906509,670.645531,0.0077443272917019,0.0239254128106254,995,0,0.4495,1.71132,3.9097,10.1776,117.52,0.0168367508102839,0.0376414239344985,987,8,0.8,11.4,32.9,962.18,8022.8,-0.00218832870229819,0.0358853795790121
